depth	yearBP	SST	Notes
423.5	1458	8.50	MD99-2275
424.5	1464	8.40	MD99-2275
425.5	1469	7.90	MD99-2275
426.5	1474	8.20	MD99-2275
427.5	1480	8.30	MD99-2275
428.5	1485	8.30	MD99-2275
429.5	1490	8.50	MD99-2275
430.5	1496	8.20	MD99-2275
431.5	1501	8.20	MD99-2275
432.5	1506	8.50	MD99-2275
433.5	1512	8.30	MD99-2275
434.5	1517	8.00	MD99-2275
435.5	1522	8.10	MD99-2275
436.5	1528	8.10	MD99-2275
437.5	1533	8.20	MD99-2275
438.5	1538	7.90	MD99-2275
439.5	1544	8.40	MD99-2275
440.5	1549	8.10	MD99-2275
441.5	1554	9.30	MD99-2275
442.5	1560	8.90	MD99-2275
443.5	1565	8.20	MD99-2275
444.5	1570	8.50	MD99-2275
445.5	1576	8.40	MD99-2275
446.5	1581	8.30	MD99-2275
447.5	1586	8.30	MD99-2275
448.5	1592	8.40	MD99-2275
449.5	1597	8.20	MD99-2275
450.5	1602	8.30	MD99-2275
451.5	1608	8.50	MD99-2275
452.5	1613	8.10	MD99-2275
453.5	1618	6.60	MD99-2275
454.5	1624	7.50	MD99-2275
455.5	1629	8.10	MD99-2275
456.5	1634	8.30	MD99-2275
457.5	1640	7.40	MD99-2275
458.5	1645	8.10	MD99-2275
459.5	1650	7.80	MD99-2275
460.5	1656	8.30	MD99-2275
461.5	1661	8.20	MD99-2275
462.5	1666	8.00	MD99-2275
463.5	1672	8.10	MD99-2275
464.5	1677	8.40	MD99-2275
465.5	1682	9.90	MD99-2275
466.5	1688	8.00	MD99-2275
467.5	1693	7.60	MD99-2275
468.5	1698	10.50	MD99-2275
469.5	1704	7.90	MD99-2275
470.5	1709	8.20	MD99-2275
471.5	1714	7.90	MD99-2275
472.5	1720	8.10	MD99-2275
473.5	1725	8.20	MD99-2275
474.5	1730	8.20	MD99-2275
475.5	1736	8.80	MD99-2275
476.5	1741	7.70	MD99-2275
477.5	1746	8.40	MD99-2275
478.5	1752	8.20	MD99-2275
479.5	1757	8.20	MD99-2275
480.5	1762	7.50	MD99-2275
481.5	1768	6.40	MD99-2275
482.5	1773	7.70	MD99-2275
483.5	1778	8.60	MD99-2275
484.5	1784	8.70	MD99-2275
485.5	1789	7.80	MD99-2275
486.5	1800	9.00	MD99-2275
487.5	1805	8.20	MD99-2275
488.5	1810	8.20	MD99-2275
489.5	1816	8.70	MD99-2275
490.5	1821	8.30	MD99-2275
491.5	1826	9.10	MD99-2275
492.5	1831	8.50	MD99-2275
493.5	1836	8.50	MD99-2275
494.5	1841	8.60	MD99-2275
495.5	1847	8.40	MD99-2275
496.5	1852	8.80	MD99-2275
497.5	1857	8.60	MD99-2275
498.5	1862	9.70	MD99-2275
499.5	1867	9.30	MD99-2275
500.5	1872	9.10	MD99-2275
501.5	1877	8.80	MD99-2275
502.5	1882	9.10	MD99-2275
503.5	1887	8.80	MD99-2275
504.5	1893	8.30	MD99-2275
505.5	1898	9.60	MD99-2275
506.5	1908	7.90	MD99-2275
507.5	1913	8.30	MD99-2275
508.5	1918	8.20	MD99-2275
509.5	1923	8.40	MD99-2275
510.5	1928	9.00	MD99-2275
511.5	1934	9.50	MD99-2275
512.5	1939	7.80	MD99-2275
513.5	1944	8.70	MD99-2275
514.5	1949	8.80	MD99-2275
515.5	1954	9.10	MD99-2275
516.5	1959	8.70	MD99-2275
517.5	1964	7.00	MD99-2275
518.5	1969	8.20	MD99-2275
519.5	1974	8.70	MD99-2275
520.5	1980	8.00	MD99-2275
521.5	1990	7.60	MD99-2275
522.5	1995	8.70	MD99-2275
523.5	2000	8.00	MD99-2275
524.5	2005	7.10	MD99-2275
525.5	2010	7.80	MD99-2275
526.5	2015	8.40	MD99-2275
527.5	2021	8.70	MD99-2275
528.5	2026	7.30	MD99-2275
529.5	2030	NA	MD99-2275
530.5	2036	8.99	MD99-2275
531.5	2041	8.79	MD99-2275
532.5	2046	9.63	MD99-2275
533.5	2051	8.98	MD99-2275
534.5	2056	8.70	MD99-2275
535.5	2061	8.70	MD99-2275
536.5	2066	8.81	MD99-2275
