depth	d18O	dD
86.922	-30.74	
86.992	-29.28	
87.062	-27.62	
87.132	-26.69	
87.202	-27.01	
87.272	-28.30	
87.342	-28.97	
87.413	-28.80	
87.483	-27.77	
87.553	-26.43	
87.623	-25.61	
87.693	-27.84	
87.763	-29.04	
87.833	-28.59	
87.903	-27.77	
87.973	-27.27	
88.043	-26.97	
88.113	-26.70	
88.182	-28.60	
88.252	-30.71	
88.322	-30.42	
88.392	-29.45	
88.462	-27.38	
88.532	-26.92	
88.602	-28.17	
88.671	-30.45	
88.741	-31.86	
88.811	-29.82	
88.881	-28.47	
88.951	-27.62	
89.020	-26.70	
89.090	-27.56	
89.160	-29.30	
89.229	-30.96	
89.299	-30.33	
89.369	-27.84	
89.439	-26.08	
89.508	-25.10	
89.578	-26.60	
89.647	-28.57	
89.717	-31.00	
89.787	-31.60	
89.856	-30.15	
89.926	-28.28	
89.995	-27.14	
90.065	-27.03	
90.134	-26.84	
90.204	-26.55	
90.273	-26.48	
90.343	-27.08	
90.412	-27.33	
90.482	-27.51	
90.551	-27.27	
90.621	-26.71	
90.690	-25.78	
90.759	-26.36	
90.829	-28.95	
90.898	-30.23	
90.967	-29.35	
91.037	-27.77	
91.106	-26.42	
91.175	-25.30	
91.245	-27.09	
91.314	-28.77	
91.383	-29.58	
91.453	-29.62	
91.522	-29.70	
91.591	-29.34	
91.660	-28.44	
91.729	-27.60	
91.799	-27.49	
91.868	-27.97	
91.937	-28.63	
92.006	-28.80	
92.075	-28.13	
92.144	-26.29	
92.214	-24.55	
92.283	-23.80	
92.352	-24.98	
92.421	-27.07	
92.490	-28.56	
92.559	-28.72	
92.628	-28.41	
92.697	-28.04	
92.766	-27.22	
92.835	-25.86	
92.904	-25.37	
92.973	-27.50	
93.042	-29.42	
93.111	-29.49	
93.180	-28.64	
93.249	-27.66	
93.318	-26.13	
93.387	-25.04	
93.455	-25.01	
93.524	-26.18	
93.593	-27.77	
93.662	-28.28	
93.731	-28.51	
93.800	-27.62	
93.868	-26.60	
93.937	-24.89	
94.006	-23.45	
94.075	-25.59	
94.143	-28.90	
94.212	-29.62	
94.281	-28.78	
94.350	-28.13	
94.418	-28.10	
94.487	-28.68	
94.556	-30.33	
94.624	-30.92	
94.693	-29.96	
94.762	-28.07	
94.830	-25.83	
94.899	-25.45	
94.968	-26.24	
95.036	-26.66	
95.105	-26.43	
95.173	-25.97	
95.242	-25.63	
95.310	-25.16	
95.379	-25.48	
95.448	-26.07	
95.516	-26.18	
95.585	-25.63	
95.653	-25.71	
95.722	-25.99	
95.790	-27.27	
95.858	-28.17	
95.927	-28.65	
95.995	-28.98	
96.064	-29.88	
